name,num_parts,num_vertices,num_edges,part_time,sys_time,comm_vol,edge_cut,avg_part_size,std_part_size,min_part_size,max_part_size,perf_time,perf_total_time,perf_std
as-skitter.txt.metis,64,1696415,11095298,87.695155,0.043996s,3284823,11317678,26506.484,574.123,25996,27302,110.1284,109.9852,0.0730
as-skitter.txt.metis,64,1696415,11095298,87.468262,0.055995s,3284823,11317678,26506.484,574.123,25996,27302,109.8890,109.9852,0.0730
wiki-Talk.txt.metis,8,2394385,4659565,9.198639,0.019702s,2184142,5288726,299298.125,3394.074,298014,308278,16.0070,16.0213,0.0389
wiki-Talk.txt.metis,8,2394385,4659565,9.162695,0.012000s,2184142,5288726,299298.125,3394.074,298014,308278,15.9622,16.0213,0.0389
wiki-Talk.txt.metis,8,2394385,4659565,9.216921,0.015998s,2184142,5288726,299298.125,3394.074,298014,308278,16.0948,16.0213,0.0389
soc-lastfm.metis,64,1191805,4519330,38.411683,0.011999s,2843073,5347282,18621.953,238.883,18506,19181,53.227,53.395,0.159
soc-lastfm.metis,64,1191805,4519330,38.853774,0.022328s,2843073,5347282,18621.953,238.883,18506,19181,53.712,53.395,0.159
soc-lastfm.metis,64,1191805,4519330,38.380137,0.022374s,2843073,5347282,18621.953,238.883,18506,19181,53.246,53.395,0.159
soc-LiveJournal1.txt.metis,256,4846609,42851237,1310.957361,0.282216s,21541933,42675978,18932.066,211.745,18728,19501,1528.54,1526.55,2.06
soc-LiveJournal1.txt.metis,256,4846609,42851237,1311.064447,0.344278s,21541933,42675978,18932.066,211.745,18728,19501,1528.70,1526.55,2.06
soc-LiveJournal1.txt.metis,256,4846609,42851237,1307.502682,0.287619s,21541933,42675978,18932.066,211.745,18728,19501,1522.43,1526.55,2.06
as-skitter.txt.metis,16,1696415,11095298,24.912608,0.024497s,2561440,9393534,106025.938,1643.426,104346,109207,34.4451,34.4445,0.0867
as-skitter.txt.metis,16,1696415,11095298,24.993532,0.034315s,2561440,9393534,106025.938,1643.426,104346,109207,34.5942,34.4445,0.0867
as-skitter.txt.metis,16,1696415,11095298,24.753478,0.022367s,2561440,9393534,106025.938,1643.426,104346,109207,34.2940,34.4445,0.0867
